Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
ZF11,699301,,,,,,,2.79066890E+00,-1.06449770E-02,2.90718540E-02,2.12866070E-03,-1.58156250E-04,1.71452470E-05,73,D,45 ,ZF11,,,,,,,,,,,,,,,,,,,,,
H-LaK10,651559,7.83174579E-01,2.73169490E-03,8.94315049E-01,1.69034325E-02,1.13896900E+00,1.11158589E+02,,,,,,,71,C,45 ,H-LaK10,,,,,,,,,,,,,,,,,,,,,
H-LaF10LA,788475,1.93178403E+00,9.97340769E-03,1.89897276E-01,3.68891042E-02,1.09736515E+00,7.72777489E+01,,,,,,,61,MA,45 ,H-LaF10LA,,,,,,,,,,,,,,,,,,,,,
H-ZF50,741278,1.38419227E+00,1.21210226E+02,2.16862697E-01,6.42534343E-02,1.69855074E+00,1.35195855E-02,,,,,,,95,B,46 ,H-ZF50,,,,,,,,,,,,,,,,,,,,,
H-QF1,548458,1.24414177E+00,8.67592204E-03,1.08792977E+00,1.24770880E+02,1.06583226E-01,4.73895753E-02,,,,,,,93,B,46 ,H-QF1,,,,,,,,,,,,,,,,,,,,,
H-ZF7LA,805255,1.65846092E+00,1.44874699E+02,2.98796445E-01,6.35424599E-02,1.81848340E+00,1.41908346E-02,,,,,,,90,MA,46 ,H-ZF7LA,,,,,,,,,,,,,,,,,,,,,
H-ZF7LAGT,805255,1.65846092E+00,1.44874699E+02,2.98796445E-01,6.35424599E-02,1.81848340E+00,1.41908346E-02,,,,,,,90,MA,46 ,H-ZF7LAGT,,,,,,,,,,,,,,,,,,,,,
H-ZF52,847238,4.09982615E-01,6.21421199E-02,2.37517176E+00,1.85055134E+02,1.83913582E+00,1.36093459E-02,,,,,,,88,MA,46 ,H-ZF52,,,,,,,,,,,,,,,,,,,,,
H-ZF52GT,847238,4.09982615E-01,6.21421199E-02,2.37517176E+00,1.85055134E+02,1.83913582E+00,1.36093459E-02,,,,,,,88,MA,46 ,H-ZF52GT,,,,,,,,,,,,,,,,,,,,,
H-ZF13,785257,1.73521591E+00,1.31087904E-02,3.16277446E-01,6.21421663E-02,2.16384634E+00,1.78845558E+02,,,,,,,86,MA,46 ,H-ZF13,,,,,,,,,,,,,,,,,,,,,
H-ZF13GT,785257,1.73521591E+00,1.31087904E-02,3.16277446E-01,6.21421663E-02,2.16384634E+00,1.78845558E+02,,,,,,,86,MA,46 ,H-ZF13GT,,,,,,,,,,,,,,,,,,,,,
H-F51,640345,1.19880199E+00,1.18703083E+02,1.46782039E-01,5.86919967E-02,1.46655148E+00,1.11709187E-02,,,,,,,84,D,46 ,H-F51,,,,,,,,,,,,,,,,,,,,,
H-ZF12,762266,3.23730379E-01,5.98308169E-02,1.65668629E+00,1.20542686E-02,2.12141520E+00,1.74187920E+02,,,,,,,84,A,46 ,H-ZF12,,,,,,,,,,,,,,,,,,,,,
QF6,532488,,,,,,,2.30448840E+00,-8.37823210E-03,1.44243420E-02,3.33743110E-04,-4.46574560E-06,1.33499290E-06,82,D,46 ,QF6,,,,,,,,,,,,,,,,,,,,,
H-LaK1,660574,9.64886701E-01,9.11939330E+01,4.68480585E-01,2.05810529E-02,1.23722796E+00,6.08509423E-03,,,,,,,77,D,46 ,H-LaK1,,,,,,,,,,,,,,,,,,,,,
H-ZLaF56B,806333,1.93771288E+00,1.22003756E-02,1.56440326E+00,1.22447532E+02,2.14505628E-01,5.78880425E-02,,,,,,,74,MA,46 ,H-ZLaF56B,,,,,,,,,,,,,,,,,,,,,
H-LaK11,665546,1.09089534E+00,4.92618902E-03,6.28435989E-01,2.03181412E-02,1.01438282E+00,1.00530943E+02,,,,,,,72,C,46 ,H-LaK11,,,,,,,,,,,,,,,,,,,,,
H-LaK50A,652584,7.59437631E-01,2.23196710E-03,1.16056755E+00,9.10466256E+01,9.23360830E-01,1.58590987E-02,,,,,,,63,B,46 ,H-LaK50A,,,,,,,,,,,,,,,,,,,,,
D-K9,516641,5.67853792E-01,2.38581579E-03,7.02269689E-01,1.35348332E-02,1.08102455E+00,1.07748228E+02,,,,,,,63,A,46 ,D-K9,,,,,,,,,,,,,,,,,,,,,
D-K9-25,516640,1.08234297E+00,1.07907645E+02,5.48438846E-01,2.19092900E-03,7.19999855E-01,1.34070020E-02,,,,,,,63,A,46 ,D-K9-25,,,,,,,,,,,,,,,,,,,,,
H-ZK1,569630,1.06131555E+00,5.43666583E-03,3.65740168E-01,1.87659148E-02,1.03466756E+00,9.75169702E+01,,,,,,,61,D,46 ,H-ZK1,,,,,,,,,,,,,,,,,,,,,
H-LaK4L,640602,4.02312889E-01,-2.67679247E-03,1.24575177E+00,1.31716110E-02,1.28904431E+00,9.33654804E+01,,,,,,,60,A,46 ,H-LaK4L,,,,,,,,,,,,,,,,,,,,,
H-LaK53B,755523,1.03141220E+00,3.95421648E-03,9.85282193E-01,1.86863118E-02,1.17066017E+00,8.11326753E+01,,,,,,,57,MA,46 ,H-LaK53B,,,,,,,,,,,,,,,,,,,,,
H-K11,526602,7.95536936E-01,4.00873219E-03,5.00949252E-01,1.75436655E-02,9.05052235E-01,1.11287063E+02,,,,,,,94,D,47 ,H-K11,,,,,,,,,,,,,,,,,,,,,
H-K12,534555,,,,,,,2.31506425E+00,-8.27156166E-03,1.29535559E-02,2.68505199E-04,-5.46028268E-06,6.24325621E-07,92,D,47 ,H-K12,,,,,,,,,,,,,,,,,,,,,
H-QF14,596392,1.17413204E+00,1.19558629E+02,1.36038248E+00,9.92935549E-03,1.25239591E-01,5.38484281E-02,,,,,,,78,D,47 ,H-QF14,,,,,,,,,,,,,,,,,,,,,
QF1,548459,,,,,,,2.35049510E+00,-8.68570210E-03,1.60928570E-02,1.87059120E-04,4.21495810E-05,-1.32160620E-06,77,D,47 ,QF1,,,,,,,,,,,,,,,,,,,,,
D-ZK2,583594,4.02765796E-01,1.90634710E-02,1.01706887E+00,1.01270923E+02,1.06495499E+00,5.90052089E-03,,,,,,,73,A,47 ,D-ZK2,,,,,,,,,,,,,,,,,,,,,
D-ZK2-25,582593,1.10449460E+00,6.20948070E-03,3.60941240E-01,1.96844329E-02,1.01208343E+00,1.01038646E+02,,,,,,,73,A,47 ,D-ZK2-25,,,,,,,,,,,,,,,,,,,,,
D-ZK3,589612,1.33936811E+00,7.60612309E-03,1.48690268E-01,2.38444644E-02,1.00954033E+00,8.90419787E+01,,,,,,,72,A,47 ,D-ZK3,,,,,,,,,,,,,,,,,,,,,
D-ZK3-25,588613,1.24347604E+00,1.08031442E+02,9.18798491E-01,1.39520404E-02,5.67180042E-01,1.27620015E-03,,,,,,,72,A,47 ,D-ZK3-25,,,,,,,,,,,,,,,,,,,,,
D-ZK2L,587596,5.12521894E-01,1.76943616E-02,9.67402158E-01,5.10795325E-03,1.12488967E+00,1.09103770E+02,,,,,,,,D,47 ,D-ZK2L,,,,,,,,,,,,,,,,,,,,,
D-ZK2L-25,586595,5.30248488E-01,1.75027403E-02,1.12537335E+00,1.09192004E+02,9.47317341E-01,4.98306497E-03,,,,,,,,D,47 ,D-ZK2L-25,,,,,,,,,,,,,,,,,,,,,
BaF7,614400,,,,,,,2.54364160E+00,-8.69252160E-03,2.00491920E-02,8.97953520E-04,-4.97344730E-05,5.35560000E-06,83,D,49 ,BaF7,,,,,,,,,,,,,,,,,,,,,
H-ZLaF66,801350,2.33018785E-01,5.37435377E-02,1.90660392E+00,1.14336559E-02,1.37147086E+00,1.10630887E+02,,,,,,,79,A,49 ,H-ZLaF66,,,,,,,,,,,,,,,,,,,,,
H-ZLaF66GT,801350,2.33018785E-01,5.37435377E-02,1.90660392E+00,1.14336559E-02,1.37147086E+00,1.10630887E+02,,,,,,,79,B,49 ,H-ZLaF66GT,,,,,,,,,,,,,,,,,,,,,
H-K8,516568,8.90422310E-01,1.09831873E+02,2.20099174E-01,2.47288604E-02,1.04379220E+00,6.57041675E-03,,,,,,,87,D,50 ,H-K8,,,,,,,,,,,,,,,,,,,,,
H-ZF39,667331,1.53633529E-01,6.03806210E-02,1.54070508E+00,1.18591415E-02,1.20956745E+00,1.19979606E+02,,,,,,,90,D,51 ,H-ZF39,,,,,,,,,,,,,,,,,,,,,
H-K6,511605,,,,,,,2.25024516E+00,-7.58714819E-03,1.26303778E-02,-2.29001819E-04,5.80225939E-05,-2.84094604E-06,85,D,51 ,H-K6,,,,,,,,,,,,,,,,,,,,,
H-K7,515606,8.54802452E-01,1.03204260E+02,4.42226826E-01,1.79643059E-02,8.20484068E-01,4.33831623E-03,,,,,,,85,D,51 ,H-K7,,,,,,,,,,,,,,,,,,,,,
H-K5,510634,,,,,,,2.25018356E+00,-8.94066156E-03,1.14317829E-02,-7.33393278E-05,3.49616695E-05,-1.80100775E-06,75,D,51 ,H-K5,,,,,,,,,,,,,,,,,,,,,
D-ZK21,624582,1.31514915E+00,1.03989436E+02,1.08358135E+00,1.43813024E-02,5.13108754E-01,-3.63923910E-04,,,,,,,61,D,51 ,D-ZK21,,,,,,,,,,,,,,,,,,,,,
D-ZK21-25,623581,1.08777542E+00,1.43531981E-02,5.05694645E-01,-4.48862561E-04,1.31533152E+00,1.04063333E+02,,,,,,,61,D,51 ,D-ZK21-25,,,,,,,,,,,,,,,,,,,,,
D-K59,518635,1.12095380E+00,6.57908073E-03,1.52690608E-01,2.35724778E-02,1.07502924E+00,1.06309977E+02,,,,,,,60,B,51 ,D-K59,,,,,,,,,,,,,,,,,,,,,
D-K59-25,517634,1.16665743E+00,7.07953299E-03,1.05028598E-01,2.61090052E-02,9.90269002E-01,9.86724455E+01,,,,,,,60,B,51 ,D-K59-25,,,,,,,,,,,,,,,,,,,,,
D-ZF10,689311,1.81090971E-01,6.06385885E-02,1.38321826E+00,1.32946691E+02,1.57814468E+00,1.22919204E-02,,,,,,,100,B,52 ,D-ZF10,,,,,,,,,,,,,,,,,,,,,
D-ZF10-25,687312,1.39531577E+00,1.34661574E+02,1.80389834E-01,6.04305431E-02,1.57395389E+00,1.22657049E-02,,,,,,,100,B,52 ,D-ZF10-25,,,,,,,,,,,,,,,,,,,,,
H-ZBaF4,664355,1.51466661E-01,5.71831045E-02,1.54020133E+00,1.11587138E-02,1.18737385E+00,1.20128948E+02,,,,,,,79,D,52 ,H-ZBaF4,,,,,,,,,,,,,,,,,,,,,
H-LaK12,697562,7.86703112E-01,2.02073208E-03,1.21770392E+00,8.67034790E+01,1.04086924E+00,1.63643393E-02,,,,,,,64,C,54 ,H-LaK12,,,,,,,,,,,,,,,,,,,,,
H-ZLaF52A,806410,1.85313688E+00,9.85534639E-03,3.17938591E-01,3.92611678E-02,1.16396318E+00,9.31032763E+01,,,,,,,61,MA,54 ,H-ZLaF52A,,,,,,,,,,,,,,,,,,,,,
H-ZLaF53B,834372,3.02813825E-01,4.55920200E-02,1.25522353E+00,9.99412194E+01,1.95575794E+00,1.08167110E-02,,,,,,,59,MA,54 ,H-ZLaF53B,,,,,,,,,,,,,,,,,,,,,
H-LaF53,743492,1.52005515E+00,7.46606502E-03,1.09140777E+00,8.19422153E+01,4.52588708E-01,2.63954349E-02,,,,,,,55,A,54 ,H-LaF53,,,,,,,,,,,,,,,,,,,,,
D-ZK3L,592607,6.38506128E-01,2.16674072E-03,8.57387558E-01,1.44860621E-02,1.23664057E+00,1.07881152E+02,,,,,,,,D,54 ,D-ZK3L,,,,,,,,,,,,,,,,,,,,,
D-ZK3L-25,591606,6.36443631E-01,2.17371740E-03,8.56921557E-01,1.44861653E-02,1.23247717E+00,1.07585666E+02,,,,,,,,D,54 ,D-ZK3L-25,,,,,,,,,,,,,,,,,,,,,
H-LaK5A,678555,1.54437415E+00,8.15901025E-03,1.00066972E+00,8.89110754E+01,2.19123775E-01,2.67011064E-02,,,,,,,80,B,55 ,H-LaK5A,,,,,,,,,,,,,,,,,,,,,
QF8,541472,,,,,,,2.32874310E+00,-7.86798000E-03,1.57638540E-02,1.97942350E-04,1.80028920E-05,3.65334740E-07,85,D,56 ,QF8,,,,,,,,,,,,,,,,,,,,,
ZF52,847238,,,,,,,3.24264500E+00,-7.79545833E-03,5.33808621E-02,1.51154152E-03,7.22194744E-05,1.66026590E-05,86,D,57 ,ZF52,,,,,,,,,,,,,,,,,,,,,
H-F52,614346,1.45718564E-01,5.88531707E-02,1.38809572E+00,1.06276429E-02,1.21907399E+00,1.26468492E+02,,,,,,,83,D,57 ,H-F52,,,,,,,,,,,,,,,,,,,,,
H-BaF4,583466,1.32811418E+00,8.68510750E-03,1.26865199E-01,4.40786174E-02,1.04004826E+00,1.20899619E+02,,,,,,,82,D,57 ,H-BaF4,,,,,,,,,,,,,,,,,,,,,
H-BaF6,608462,1.06475107E+00,1.15353950E+02,1.38638809E+00,8.53300947E-03,1.46161462E-01,4.37434703E-02,,,,,,,82,B,57 ,H-BaF6,,,,,,,,,,,,,,,,,,,,,
H-LaF62,720437,1.68895143E+00,9.69035554E-03,1.96642406E-01,4.23750782E-02,1.18909464E+00,1.18147033E+02,,,,,,,70,D,57 ,H-LaF62,,,,,,,,,,,,,,,,,,,,,
H-LaF52,786442,2.25893751E-01,3.91551736E-02,1.88248028E+00,1.00951886E-02,1.11307009E+00,8.50042906E+01,,,,,,,59,A,59 ,H-LaF52,,,,,,,,,,,,,,,,,,,,,
H-LaF4,750350,2.10645313E-01,5.42759294E-02,1.75547352E+00,1.12370777E-02,1.28979005E+00,1.19852069E+02,,,,,,,80,A,60 ,H-LaF4,,,,,,,,,,,,,,,,,,,,,
H-LaK8B,720503,1.55351121E+00,7.93041249E-03,3.42243754E-01,2.80174591E-02,1.07011974E+00,9.02590858E+01,,,,,,,76,D,60 ,H-LaK8B,,,,,,,,,,,,,,,,,,,,,
ZF8,654337,,,,,,,2.65671730E+00,-9.11170440E-03,2.58151970E-02,1.12035640E-03,-4.10668170E-05,6.92420110E-06,76,D,60 ,ZF8,,,,,,,,,,,,,,,,,,,,,
ZF12,762266,,,,,,,2.99506991E+00,-1.65672521E-02,2.56701429E-02,6.70445128E-03,-8.37476647E-04,6.26402774E-05,75,D,60 ,ZF12,,,,,,,,,,,,,,,,,,,,,
H-ZLaF75C,904314,1.59326832E+00,1.15386081E+02,2.99676795E-01,5.68068718E-02,2.18604253E+00,1.27688844E-02,,,,,,,73,B,60 ,H-ZLaF75C,,,,,,,,,,,,,,,,,,,,,
H-BaF2,570495,1.31856447E-01,4.04229746E-02,1.28686729E+00,8.07407390E-03,1.00682520E+00,1.13574742E+02,,,,,,,82,D,61 ,H-BaF2,,,,,,,,,,,,,,,,,,,,,
H-LaF1,694492,1.16155250E+00,1.06692961E+02,1.49000619E+00,7.36542430E-03,3.17836401E-01,3.13945298E-02,,,,,,,71,C,61 ,H-LaF1,,,,,,,,,,,,,,,,,,,,,
H-BaF3,580537,1.16102167E+00,6.37008736E-03,9.26012255E-01,1.07341889E+02,2.90935978E-01,2.65573391E-02,,,,,,,67,D,61 ,H-BaF3,,,,,,,,,,,,,,,,,,,,,
H-ZLaF4LB,911353,3.03787540E-01,5.00877320E-02,2.22145931E+00,1.18758260E-02,1.54968685E+00,1.13957667E+02,,,,,,,66,MA,61 ,H-ZLaF4LB,,,,,,,,,,,,,,,,,,,,,
H-K3,505647,2.96004558E-01,1.85989847E-02,9.40420083E-01,5.13632873E-03,1.00566540E+00,9.75554310E+01,,,,,,,58,D,61 ,H-K3,,,,,,,,,,,,,,,,,,,,,
H-K2,500660,9.51357962E-01,1.12894891E-02,9.69614738E-01,9.91744348E+01,2.73207194E-01,-2.45665699E-03,,,,,,,55,D,61 ,H-K2,,,,,,,,,,,,,,,,,,,,,
ZF7LTT,805255,,,,,,,3.11724527E+00,-9.77958678E-03,4.31752564E-02,2.52279577E-03,-1.17399740E-04,2.07881157E-05,79,D,62 ,ZF7LTT,,,,,,,,,,,,,,,,,,,,,
H-ZLaF55D,835427,2.27765275E-01,4.12221798E-02,2.04686906E+00,1.07489490E-02,1.20888928E+00,8.78518998E+01,,,,,,,64,MA,62 ,H-ZLaF55D,,,,,,,,,,,,,,,,,,,,,
H-ZLaF55C,835427,1.89206469E+00,9.27969961E-03,3.83013491E-01,3.56259460E-02,1.32100138E+00,9.36667669E+01,,,,,,,62,C,62 ,H-ZLaF55C,,,,,,,,,,,,,,,,,,,,,
H-LaF51,700481,1.16091555E+00,1.02913644E+02,1.53441573E+00,7.59735684E-03,2.93141701E-01,3.38071716E-02,,,,,,,80,D,63 ,H-LaF51,,,,,,,,,,,,,,,,,,,,,
H-LaK8A,720503,1.13861881E+00,8.00744660E+01,1.58050538E-01,3.68197669E-02,1.73934635E+00,9.09531981E-03,,,,,,,53,D,63 ,H-LaK8A,,,,,,,,,,,,,,,,,,,,,
H-BaF8,626391,1.18828507E+00,1.28446962E+02,1.43848614E+00,1.01637552E-02,1.40002385E-01,5.24582573E-02,,,,,,,86,D,64 ,H-BaF8,,,,,,,,,,,,,,,,,,,,,
ZF51,785261,,,,,,,3.06187076E+00,-1.38733563E-02,3.29852220E-02,5.07141578E-03,-5.38606629E-04,4.36089245E-05,82,D,64 ,ZF51,,,,,,,,,,,,,,,,,,,,,
ZF50,741278,,,,,,,2.92280840E+00,-1.30295490E-02,2.95400070E-02,4.13083650E-03,-4.47215420E-04,3.71376030E-05,71,D,64 ,ZF50,,,,,,,,,,,,,,,,,,,,,
H-LaK71,703524,1.12850687E+00,1.01092235E+02,5.62111972E-01,2.13536626E-02,1.27965415E+00,6.68008053E-03,,,,,,,50,B,64 ,H-LaK71,,,,,,,,,,,,,,,,,,,,,
H-LaF4GT,750350,2.10645313E-01,5.42759294E-02,1.75547352E+00,1.12370777E-02,1.28979005E+00,1.19852069E+02,,,,,,,80,A,65 ,H-LaF4GT,,,,,,,,,,,,,,,,,,,,,
H-ZLaF75A,904313,1.50615126E+00,1.02994725E+02,2.18809221E+00,1.27716105E-02,2.97955776E-01,5.69661668E-02,,,,,,,73,MA,65 ,H-ZLaF75A,,,,,,,,,,,,,,,,,,,,,
H-LaF54,800422,,,,,,,3.14470202E+00,-1.01059060E-02,3.43096974E-02,-8.33127912E-04,2.17008428E-04,-8.70147899E-06,57,A,65 ,H-LaF54,,,,,,,,,,,,,,,,,,,,,
H-BaK1,530605,6.85984613E-01,1.54934494E-02,9.01677469E-01,1.06588731E+02,6.22429167E-01,2.22670016E-03,,,,,,,73,D,68 ,H-BaK1,,,,,,,,,,,,,,,,,,,,,
H-LaK54,734515,1.20772937E+00,1.76389155E-02,7.37418371E-01,6.66515982E-04,1.35749026E+00,9.69938806E+01,,,,,,,51,B,68 ,H-LaK54,,,,,,,,,,,,,,,,,,,,,
D-LaK6,694531,4.77723115E-01,2.26962287E-02,1.33623366E+00,6.59605302E-03,1.22543438E+00,9.42027569E+01,,,,,,,75,A,69 ,D-LaK6,,,,,,,,,,,,,,,,,,,,,
D-LaK6-25,693531,1.22299893E+00,9.40859262E+01,4.71209941E-01,2.27830104E-02,1.33928922E+00,6.65285316E-03,,,,,,,75,A,69 ,D-LaK6-25,,,,,,,,,,,,,,,,,,,,,
K4A,508611,7.49532263E-01,1.48033503E-02,4.94866234E-01,-2.64092219E-04,9.60168660E-01,9.57190154E+01,,,,,,,47,D,69 ,K4A,,,,,,,,,,,,,,,,,,,,,
H-ZPK1A,618634,9.44049498E-01,1.09035762E+02,1.05017122E+00,1.32903754E-02,5.27568709E-01,7.41462968E-04,,,,,,,99,MA,70 ,H-ZPK1A,,,,,,,,,,,,,,,,,,,,,
H-ZPK5,593683,2.59562934E-01,1.96231869E-02,1.24131969E+00,6.19669959E-03,7.87237390E-01,1.23753444E+02,,,,,,,124,MA,72 ,H-ZPK5,,,,,,,,,,,,,,,,,,,,,
H-FK61B,497816,7.14812161E-01,1.08370689E-02,5.02984998E-01,1.32155859E-03,8.36119846E-01,1.53360674E+02,,,,,,,127,MA,74 ,H-FK61B,,,,,,,,,,,,,,,,,,,,,
H-ZF52A,847238,,,,,,,3.25068620E+00,-1.33942217E-02,4.83625913E-02,3.14442751E-03,-1.97073674E-04,3.47645679E-05,84,D,74 ,H-ZF52A,,,,,,,,,,,,,,,,,,,,,
H-BaF5,606439,1.06904566E+00,1.12003965E+02,1.04157510E-01,5.16103587E-02,1.41843612E+00,9.56493179E-03,,,,,,,82,D,77 ,H-BaF5,,,,,,,,,,,,,,,,,,,,,
H-LaK67,670517,3.88812223E-01,2.50904368E-02,1.10534294E+00,1.13004440E+02,1.34453139E+00,7.15875972E-03,,,,,,,70,D,77 ,H-LaK67,,,,,,,,,,,,,,,,,,,,,
D-K9GT,516641,5.67853792E-01,2.38581579E-03,7.02269689E-01,1.35348332E-02,1.08102455E+00,1.07748228E+02,,,,,,,63,B,77 ,D-K9GT,,,,,,,,,,,,,,,,,,,,,
D-K9GT-25,516640,1.08234297E+00,1.07907645E+02,5.48438846E-01,2.19092900E-03,7.19999855E-01,1.34070020E-02,,,,,,,63,B,77 ,D-K9GT-25,,,,,,,,,,,,,,,,,,,,,
H-ZLaF52,806410,,,,,,,3.16943454E+00,-1.24379117E-02,3.22101116E-02,1.81456299E-04,8.90652926E-05,-1.91933145E-06,58,D,78 ,H-ZLaF52,,,,,,,,,,,,,,,,,,,,,
H-LaK6A,694534,1.13018444E+00,8.14541493E+01,1.60589000E+00,8.17222723E-03,2.07868982E-01,3.03803140E-02,,,,,,,56,A,78 ,H-LaK6A,,,,,,,,,,,,,,,,,,,,,
H-LaF55,762401,1.73920103E+00,9.74400845E-03,1.16162575E+00,1.11118099E+02,2.79488106E-01,4.23325277E-02,,,,,,,82,D,79 ,H-LaF55,,,,,,,,,,,,,,,,,,,,,
H-FK61,497816,5.02504076E-01,1.32743798E-03,7.15240076E-01,1.08378966E-02,8.36628986E-01,1.55933755E+02,,,,,,,131,MA,80 ,H-FK61,,,,,,,,,,,,,,,,,,,,,
H-BaF7,614400,1.08754258E+00,1.17535981E+02,1.41618001E+00,1.00875311E-02,1.26987130E-01,5.26006682E-02,,,,,,,83,D,81 ,H-BaF7,,,,,,,,,,,,,,,,,,,,,
H-ZLaF71AGT,850322,1.54172779E+00,1.31963779E+02,2.03469901E+00,1.25481283E-02,2.64811834E-01,5.59794710E-02,,,,,,,72,D,81 ,H-ZLaF71AGT,,,,,,,,,,,,,,,,,,,,,
H-ZLaF4LA,911353,2.21255100E+00,1.18172540E-02,3.12542616E-01,4.95862580E-02,1.56862457E+00,1.15526490E+02,,,,,,,71,MA,81 ,H-ZLaF4LA,,,,,,,,,,,,,,,,,,,,,
H-ZLaF76A,850300,2.00079286E+00,1.29599870E-02,1.53020671E+00,1.31107483E+02,2.89955307E-01,5.77379770E-02,,,,,,,64,B,82 ,H-ZLaF76A,,,,,,,,,,,,,,,,,,,,,
H-ZLaF90A,001255,2.34543127E+00,1.41722355E-02,4.62434366E-01,6.12622200E-02,1.97876853E+00,1.29818490E+02,,,,,,,73,D,83 ,H-ZLaF90A,,,,,,,,,,,,,,,,,,,,,
H-ZLaF90,001254,4.94167183E-01,6.02358038E-02,2.31375143E+00,1.37149187E-02,2.27929870E+00,1.48088436E+02,,,,,,,70,A,83 ,H-ZLaF90,,,,,,,,,,,,,,,,,,,,,
